Compound # (화합물 번호),Structure (구조) - SMILES,Unnamed_2,IUPAC (formatted),for reference --> (before cleansed),tabular IUPAC (unformatted),Unnamed_6
61.0,COCS/C1=C(\C(C)=O)C(=O)C2=C(Cl)C=CC(Br)=C2N1,,3-acetyl-8-bromo-5-chloro-2-((methoxymethyl)thio)quinolin-4(1H)-one,,3-acetyl-8-bromo-5-chloro-2- ((methoxymethyl)thio)quinolin-4(1H)-one,
62.0,CC(=O)/C1=C(\S)NC2=C(Br)C=CC(Cl)=C2C1=O,,3-acetyl-8-bromo-5-chloro-2-mercaptoquinolin-4(1H)-one,,3-acetyl-8-bromo-5-chloro-2-mercaptoquinolin- 4(1H)-one,
63.0,CC(=O)/C1=C(\S(=O)CC2=CC=C(C(=O)C3=CC=CC=C3)C=C2)NC2=C(Br)C=CC(Cl)=C2C1=O,,3-acetyl-2-((4-benzoylbenzyl)sulfinyl)-8-bromo-5-chloroquinolin-4(1H)-one,,3-acetyl-2-((4-benzoylbenzyl)sulfinyl)-8-bromo-5- chloroquinolin-4(1H)-one,
64.0,CC(=O)/C1=C(\S(=O)CC2=CC=C(S(=O)C(F)(F)F)C=C2)NC2=C(Br)C=CC(Cl)=C2C1=O,,3-acetyl-8-bromo-5-chloro-2-((4-((trifluoromethyl)sulfinyl)benzyl)sulfinyl)quinolin-4(1H)-one,,,
65.0,CC(=O)/C1=C(\S(=O)CC#N)NC2=C(Br)C=CC(Cl)=C2C1=O,,"2-((3-acetyl-8-bromo-5-chloro-4-oxo-1,4-dihydroquinolin-2-yl)sulfinyl)acetonitrile",,"2-((3-acetyl-8-bromo-5-chloro-4-oxo-1,4- dihydroquinolin-2-yl)sulfinyl)acetonitrile",
66.0,CC(=O)/C1=C(\SCC#N)NC2=C(Br)C=CC(Cl)=C2C1=O,,"2-((3-acetyl-8-bromo-5-chloro-4-oxo-1,4-dihydroquinolin-2-yl)thio)acetonitrile",,"2-((3-acetyl-8-bromo-5-chloro-4-oxo-1,4- dihydroquinolin-2-yl)thio)acetonitrile",
67.0,CC(=O)/C1=C(\S/C=C\C(=O)O)NC2=C(Br)C=CC(Cl)=C2C1=O,,"(Z)-3-((3-acetyl-8-bromo-5-chloro-4-oxo-1,4-dihydroquinolin-2-yl)thio)acrylic acid",,"(Z)-3-((3-acetyl-8-bromo-5-chloro-4-oxo-1,4- dihydroquinolin-2-yl)thio)acrylic acid",
68.0,O=C1C(=C(S(=O)CC2=CC=C(C=C2)[S](F)(F)(F)(F)F)NC2C1=C(Cl)C=CC=2Br)C(=O)C,,3-acetyl-8-bromo-5-chloro-2-((4-(pentafluoro-l6-sulfanyl)benzyl)sulfinyl)quinolin-4(1H)-one,,3-acetyl-8-bromo-5-chloro-2-((4-(pentafluoro-l6- sulfanyl)benzyl)sulfinyl)quinolin-4(1H)-one,
69.0,O=C(C)C1=C(S(=O)CC2=CC=C(C=C2F)[S](F)(F)(F)(F)F)NC2C(=C(Cl)C=CC=2Br)C1=O,,3-acetyl-8-bromo-5-chloro-2-((2-fluoro-4-(pentafluoro-l6-sulfanyl)benzyl)sulfinyl)quinolin-4(1H)-one,,3-acetyl-8-bromo-5-chloro-2-((2-fluoro-4- (pentafluoro-l6-sulfanyl)benzyl)sulfinyl)quinolin- 4(1H)-one,
70.0,CC(=O)/C1=C(\S(=O)CC2=CC=C(C(F)(F)F)C=C2)NC2=C(Br)C=CC(Cl)=C2C1=O,,3-acetyl-8-bromo-5-chloro-2-((4-(trifluoromethyl)benzyl)sulfinyl)quinolin-4(1H)-one,,3-acetyl-8-bromo-5-chloro-2-((4- (trifluoromethyl)benzyl)sulfinyl)quinolin-4(1H)- one,
71.0,CC(=O)/C1=C(\S(=O)CC2=CC=C(OC(F)(F)F)C=C2)NC2=C(Br)C=CC(Cl)=C2C1=O,,3-acetyl-8-bromo-5-chloro-2-((4-(trifluoromethoxy)benzyl)sulfinyl)quinolin-4(1H)-one,,3-acetyl-8-bromo-5-chloro-2-((4- (trifluoromethoxy)benzyl)sulfinyl)quinolin-4(1H)- one,
