compound_key,compound_id,iupac_name,mw,lcms_text,nmr_1h_text,flag_asterisk,flag_imaging_conflict,flag_smiles_o3_changed,year,provenance_file,provenance_sheet,provenance_row
CXARGGCICUABSX-UHFFFAOYSA-N,Example 706,"2-amino-N-(2,2- dimethylcyclopropyl)-3-methyl-N- [ [ 5 -(trifluoromethyl) -2- pyridyl]methyl] quinoline-6- carboxamide",,429.2,,,,,2021,data/bronze/artifacts/2021_raw.xlsx,Example 300~840,522
CZSXGYAGGDUIRP-MRXNPFEDSA-N,Example 334,"2-amino-3-chloro-N-((6-(3,6-dihydro-2H- pyran-4-y 1) -3 -pyridaziny l)methy 1) -N-((1R)-1- (2-pyrimidinyl)ethyl)-6-quinolinecarboxamide",,502,,,,,2021,data/bronze/artifacts/2021_raw.xlsx,Example 300~840,36
CZVLPMDTXLXSPD-HXUWFJFHSA-N,Example 451,"2-amino-N-((4R)-6- fluoro-3,4-dihydro-2H- py rano [3,2-b] py ridin-4- y 1)-3 -methy 1-N-((5- (trifluoromethy 1) -2- pyridinyl)methyl)-6- quinolinecarboxamide",,512.2,,,,,2021,data/bronze/artifacts/2021_raw.xlsx,Example 300~840,200
CZYJANAVBQULTH-HXUWFJFHSA-N,Example 551a,"(R)-2-acetamido-3-methyl-N-(l-(pyrimidin-2-yl)ethyl)-N-((r,2',3',6'- tetrahydro-[3,4'-bipyridin]-6-yl)methyl)quinoline-6-carboxamide trihydrochloride",,,,,,,2021,data/bronze/artifacts/2021_raw.xlsx,Example 300~840,353
DADLSMKTMGLXOY-CQSZACIVSA-N,Example 784,2-amino-N-((3 -chloro- 2-pyridinyl)methy 1)-7- fluoro -3 -methy 1-N - ((lR)-l-(2- pyrimidinyl)ethy 1)-6- quinolinecarboxamide,,451.2,,,,,2021,data/bronze/artifacts/2021_raw.xlsx,Example 300~840,261
DCFUKNXZVALAGZ-UHFFFAOYSA-N,Example 575,2-amino-N-(2- cyclopropylpropyl)-3-methyl-N- ((5-(trifluoromethyl)pyridin-2- yl)methyl)quinoline-6- carboxamide,,443.2,,,,,2021,data/bronze/artifacts/2021_raw.xlsx,Example 300~840,388
DCRKINIPGKOUKK-LJQANCHMSA-N,Example 461,2-am ino-3 -methy 1-N- ((3R)-2-oxo-3- piperidinyl)-N-((5- (trifluoromethy 1) -2- pyridinyl)methyl)-6- quinolinecarboxamide,,458.1,,,,,2021,data/bronze/artifacts/2021_raw.xlsx,Example 300~840,210
DDDZBCQQEFBNIR-UHFFFAOYSA-N,Example 304,2-amino-N-((5-chloro-3-fluoro-2- pyridiny l)methy 1) -3 -methy 1-N-((5- (trifluoromethyl)-2-pyridinyl)methy 1)-6- quinolinecarboxamide,,504,,Fixed,,,2021,data/bronze/artifacts/2021_raw.xlsx,Example 300~840,6
DECNSXINNROOLX-CQSZACIVSA-N,Example 483,2-amino-N-((lR)-l-(5-fluoro-2-pyridinyl)ethyl)-3-methyl-N-((5-(trifluoromethy 1) -2-pyrazinyl)methy 1)-6-quinolinecarboxamide,,485.1,,,,,2021,data/bronze/artifacts/2021_raw.xlsx,Example 300~840,232
DIBXWPTWLMSSNK-CQSZACIVSA-N,Example 488,2-am ino-3 -methy 1-N- ((lR)-l-(2- pyrimidiny l)ethy 1)-N - ((6-(trifluoromethy 1)-3 - pyridazinyl)methyl)-6- quinolinecarboxamide,,468.2,,,,,2021,data/bronze/artifacts/2021_raw.xlsx,Example 300~840,237
DJGYKILXHLWBPL-WOJBJXKFSA-N,Example 364,"2-amino-N-((5-(difluoromethyl)pyridin-2- yl)methyl)-N-((lR,2R)-2- hydroxycyclopentyl)-3-methylquinoline-6- carboxamide",,427.2,,,,,2021,data/bronze/artifacts/2021_raw.xlsx,Example 300~840,66
DKHPSPVYYHODHX-UHFFFAOYSA-N,Example 658,2-amino-N-(4-hydroxybut-2-ynyl)-3- methyl-N-[[5-(trifluoromethy 1)-2- pyridyl]methyl] quinoline-6- carboxamide,,429.2,,,,,2021,data/bronze/artifacts/2021_raw.xlsx,Example 300~840,474
DKQMYFQVDWMTFY-UHFFFAOYSA-N,Example 702,2-amino-N-(2-cyanocyclopentyl)-7- fluoro-3 -methy 1-N - [ [5 - (trifluoromethy 1)-2- pyridyl]methyl] quinoline-6- carboxamide,,472.2,,,,,2021,data/bronze/artifacts/2021_raw.xlsx,Example 300~840,518
DMQMILTWFNMFQL-GFCCVEGCSA-N,Example 422,"2 -amino -3 -chloro -N-(( 1R) -1-(2 - pyrimidinyl)ethyl)-N-((5-(trifluoromethyl)-2- pyridinyl)methy 1)-1,7-naphthyridine-6- carboxamide",,488,,,,,2021,data/bronze/artifacts/2021_raw.xlsx,Example 300~840,124
DNCDXBDELHKCPS-UHFFFAOYSA-N,Example 651,2-amino-3 -methy 1-N - [ [3 -(triazol-1 - yl)phenyl]methyl]-N-[[5- (trifluorome thy 1)-2- pyridyl]methyl] quinoline-6- carboxamide,,518.2,,,,,2021,data/bronze/artifacts/2021_raw.xlsx,Example 300~840,467
DPHNEESDYCDXPZ-CQSZACIVSA-N,Example 785,"(R) -2 -amino -N- ((6 - methoxy py ridazin-3 - yl)methyl)-3-methyl-N- (l-(l-methyl-lH-l,2,4- triazol-3- yl)ethyl)quinoline-6- carboxamide",,433,,,,,2021,data/bronze/artifacts/2021_raw.xlsx,Example 300~840,262
DPHNEESDYCDXPZ-UHFFFAOYSA-N,Example 756,"2-amino-N-((6-methoxypyridazin-3- yl)methyl)-3-methyl-N-(l-(l-methyl-lH- l,2,4-triazol-3-yl)ethyl)quinoline-6- carboxamide",,433,,,,,2021,data/bronze/artifacts/2021_raw.xlsx,Example 300~840,173
DQNUJNXAROHPIT-CYBMUJFWSA-N,Example 470,"7-amino-6-bromo-N- ((5-bromo-6-methyl-2- pyridinyl)methyl)-N- ((lR)-l-(2- pyrimidiny l)ethy 1)-1,8- naphthyridine-3- carboxamide",,558,,,,,2021,data/bronze/artifacts/2021_raw.xlsx,Example 300~840,219
DRRYJKIHGUVWQE-UHFFFAOYSA-N,Example 344,"2 -amino -N-(2,6-difluorobenzyl) -3 -methy 1-N - ((5-(trifluoromethyl)-2-pyridinyl)methyl)-6- quinolinecarboxamide",,487.2,,,,,2021,data/bronze/artifacts/2021_raw.xlsx,Example 300~840,46
DSPCDPWVLYEPIT-UHFFFAOYSA-N,Example 583,N-((lH-pyrrol-3-y l)methy 1)-2- amino-3-methyl-N-((5- (trifluoromethyl)pyridin-2- y l)methy 1) quinoline -6 - carboxamide,,440.2,,,,,2021,data/bronze/artifacts/2021_raw.xlsx,Example 300~840,397
