ex_no,ki_a_nM,ki_b_nM,ic50_null_uM,ic50_wt_uM,provenance_file,provenance_sheet,provenance_row
468,<0.1,nan,0.034,0.853,data/bronze/artifacts/2021_raw.xlsx,Table 19,171
469,0.03,nan,0.033,0.592,data/bronze/artifacts/2021_raw.xlsx,Table 19,172
470,0.09,nan,0.093,2.21,data/bronze/artifacts/2021_raw.xlsx,Table 19,173
471,0.11,nan,0.101,3.11,data/bronze/artifacts/2021_raw.xlsx,Table 19,174
472,1.04,nan,0.889,>10,data/bronze/artifacts/2021_raw.xlsx,Table 19,175
473,0.17,nan,0.302,5.11,data/bronze/artifacts/2021_raw.xlsx,Table 19,176
474,0.04,nan,0.088,3.27,data/bronze/artifacts/2021_raw.xlsx,Table 19,177
475,0.07,nan,0.268,4.46,data/bronze/artifacts/2021_raw.xlsx,Table 19,178
476,0.83,nan,0.66,>10,data/bronze/artifacts/2021_raw.xlsx,Table 19,179
477,0.11,nan,0.195,5.64,data/bronze/artifacts/2021_raw.xlsx,Table 19,180
478,0.31,nan,0.594,>10,data/bronze/artifacts/2021_raw.xlsx,Table 19,181
479,0.09,nan,0.06,1.22,data/bronze/artifacts/2021_raw.xlsx,Table 19,182
480,1.49,nan,0.369,1.46,data/bronze/artifacts/2021_raw.xlsx,Table 19,183
481,0.18,nan,0.225,4.45,data/bronze/artifacts/2021_raw.xlsx,Table 19,184
482,0.1,nan,0.106,4.32,data/bronze/artifacts/2021_raw.xlsx,Table 19,185
483,1.02,nan,0.515,>10,data/bronze/artifacts/2021_raw.xlsx,Table 19,186
484,0.11,nan,0.059,2.33,data/bronze/artifacts/2021_raw.xlsx,Table 19,187
485,3.53,nan,0.734,4.68,data/bronze/artifacts/2021_raw.xlsx,Table 19,188
486,0.42,nan,0.123,3.83,data/bronze/artifacts/2021_raw.xlsx,Table 19,189
487,0.04,nan,0.026,0.73,data/bronze/artifacts/2021_raw.xlsx,Table 19,190
488,0.1,nan,0.035,1.28,data/bronze/artifacts/2021_raw.xlsx,Table 19,191
489,0.06,nan,0.027,0.67,data/bronze/artifacts/2021_raw.xlsx,Table 19,192
490,1.01,nan,0.44,>10,data/bronze/artifacts/2021_raw.xlsx,Table 19,193
491,0.1,nan,0.061,1.27,data/bronze/artifacts/2021_raw.xlsx,Table 19,194
492,0.22,nan,0.175,3.39,data/bronze/artifacts/2021_raw.xlsx,Table 19,195
493,0.26,nan,0.146,4.08,data/bronze/artifacts/2021_raw.xlsx,Table 19,196
494,0.66,nan,0.194,5.42,data/bronze/artifacts/2021_raw.xlsx,Table 19,197
495,0.06,nan,0.086,3.17,data/bronze/artifacts/2021_raw.xlsx,Table 19,198
496,0.17,nan,0.023,0.462,data/bronze/artifacts/2021_raw.xlsx,Table 19,199
497,0.19,nan,0.035,0.462,data/bronze/artifacts/2021_raw.xlsx,Table 19,200
498,2.43,nan,0.459,2.03,data/bronze/artifacts/2021_raw.xlsx,Table 19,201
499,0.18,nan,0.251,>10,data/bronze/artifacts/2021_raw.xlsx,Table 19,202
500,0.52,nan,0.187,4.59,data/bronze/artifacts/2021_raw.xlsx,Table 19,203
501,0.02,nan,0.107,5.92,data/bronze/artifacts/2021_raw.xlsx,Table 19,204
502,0.06,nan,0.109,3.26,data/bronze/artifacts/2021_raw.xlsx,Table 19,205
503,0.06,nan,0.026,0.68,data/bronze/artifacts/2021_raw.xlsx,Table 19,206
504,0.05,nan,0.049,1.36,data/bronze/artifacts/2021_raw.xlsx,Table 19,207
505,2.51,nan,0.765,10.3,data/bronze/artifacts/2021_raw.xlsx,Table 19,208
506,0.01,nan,0.107,1.16,data/bronze/artifacts/2021_raw.xlsx,Table 19,209
507,0.15,nan,0.046,0.913,data/bronze/artifacts/2021_raw.xlsx,Table 19,210
508,0.73,nan,0.056,1.7,data/bronze/artifacts/2021_raw.xlsx,Table 19,211
509,0.13,nan,0.137,4.12,data/bronze/artifacts/2021_raw.xlsx,Table 19,212
510,0.32,nan,0.07,1.91,data/bronze/artifacts/2021_raw.xlsx,Table 19,213
511,0.14,nan,0.192,2.34,data/bronze/artifacts/2021_raw.xlsx,Table 19,214
512,0.13,nan,0.121,3.1,data/bronze/artifacts/2021_raw.xlsx,Table 19,215
513,2.61,nan,0.552,>10,data/bronze/artifacts/2021_raw.xlsx,Table 19,216
514,0.002,nan,0.028,0.625,data/bronze/artifacts/2021_raw.xlsx,Table 19,217
515,0.02,nan,0.023,0.48,data/bronze/artifacts/2021_raw.xlsx,Table 19,218
516,0.14,nan,0.155,3.64,data/bronze/artifacts/2021_raw.xlsx,Table 19,219
517,0.07,nan,0.073,4,data/bronze/artifacts/2021_raw.xlsx,Table 19,220
518,0.11,nan,0.047,0.851,data/bronze/artifacts/2021_raw.xlsx,Table 19,221
519,0.13,nan,0.062,1.705,data/bronze/artifacts/2021_raw.xlsx,Table 19,222
520,0.04,nan,0.024,0.737,data/bronze/artifacts/2021_raw.xlsx,Table 19,223
521,0.01,nan,0.012,0.078,data/bronze/artifacts/2021_raw.xlsx,Table 19,224
522,49.9,nan,0.868,5.57,data/bronze/artifacts/2021_raw.xlsx,Table 19,225
523,0.35,nan,0.334,6.38,data/bronze/artifacts/2021_raw.xlsx,Table 19,226
524,nan,nan,0.135,2.35,data/bronze/artifacts/2021_raw.xlsx,Table 19,227
525,0.23,nan,0.598,7.61,data/bronze/artifacts/2021_raw.xlsx,Table 19,228
526,0.33,nan,0.323,>10,data/bronze/artifacts/2021_raw.xlsx,Table 19,229
527,0.05,nan,0.01,0.142,data/bronze/artifacts/2021_raw.xlsx,Table 19,230
528,0.14,nan,0.058,0.899,data/bronze/artifacts/2021_raw.xlsx,Table 19,231
529,1.69,nan,0.258,4.24,data/bronze/artifacts/2021_raw.xlsx,Table 19,232
530,0.18,nan,0.108,1.71,data/bronze/artifacts/2021_raw.xlsx,Table 19,233
531,0.1,nan,0.078,2.83,data/bronze/artifacts/2021_raw.xlsx,Table 19,234
532,0.02,nan,0.045,0.894,data/bronze/artifacts/2021_raw.xlsx,Table 19,235
533,0.02,nan,0.019,0.755,data/bronze/artifacts/2021_raw.xlsx,Table 19,236
534,0.33,nan,0.154,4.02,data/bronze/artifacts/2021_raw.xlsx,Table 19,237
535,0.34,nan,0.552,>10,data/bronze/artifacts/2021_raw.xlsx,Table 19,238
536,0.02,nan,0.044,1.46,data/bronze/artifacts/2021_raw.xlsx,Table 19,239
537,0.51,nan,0.701,5.96,data/bronze/artifacts/2021_raw.xlsx,Table 19,240
538,0.68,nan,0.732,>10,data/bronze/artifacts/2021_raw.xlsx,Table 19,241
539,0.12,nan,0.328,7.01,data/bronze/artifacts/2021_raw.xlsx,Table 19,242
540,0.17,nan,0.194,6.27,data/bronze/artifacts/2021_raw.xlsx,Table 19,243
541,0.13,nan,0.198,4.14,data/bronze/artifacts/2021_raw.xlsx,Table 19,244
542,0.12,nan,0.11,4.18,data/bronze/artifacts/2021_raw.xlsx,Table 19,245
543,0.59,nan,0.568,>10,data/bronze/artifacts/2021_raw.xlsx,Table 19,246
544,0.08,nan,0.021,0.723,data/bronze/artifacts/2021_raw.xlsx,Table 19,247
545,0.41,nan,0.032,0.478,data/bronze/artifacts/2021_raw.xlsx,Table 19,248
546,1.09,nan,0.262,4.39,data/bronze/artifacts/2021_raw.xlsx,Table 19,249
547,0.02,nan,0.019,0.443,data/bronze/artifacts/2021_raw.xlsx,Table 19,250
548,0.1,nan,0.088,2.08,data/bronze/artifacts/2021_raw.xlsx,Table 19,251
549,0.07,nan,0.275,5.09,data/bronze/artifacts/2021_raw.xlsx,Table 19,252
550,0.14,nan,0.199,5.93,data/bronze/artifacts/2021_raw.xlsx,Table 19,253
551,0.14,nan,0.021,0.634,data/bronze/artifacts/2021_raw.xlsx,Table 19,254
552,0.32,nan,0.22,2.55,data/bronze/artifacts/2021_raw.xlsx,Table 19,255
553,0.36,nan,0.454,>10,data/bronze/artifacts/2021_raw.xlsx,Table 19,256
554,0.07,nan,0.122,4.28,data/bronze/artifacts/2021_raw.xlsx,Table 19,257
555,0.07,nan,0.125,3.82,data/bronze/artifacts/2021_raw.xlsx,Table 19,258
556,4.1,nan,0.342,10.1,data/bronze/artifacts/2021_raw.xlsx,Table 19,259
557,0.18,nan,0.042,1.73,data/bronze/artifacts/2021_raw.xlsx,Table 19,260
558,0.08,nan,0.038,1.3,data/bronze/artifacts/2021_raw.xlsx,Table 19,261
559,0.07,nan,0.147,2.19,data/bronze/artifacts/2021_raw.xlsx,Table 19,262
560,0.2,nan,0.623,>10,data/bronze/artifacts/2021_raw.xlsx,Table 19,263
561,0.3,nan,0.895,>10,data/bronze/artifacts/2021_raw.xlsx,Table 19,264
562,nan,3.76,0.455,>1,data/bronze/artifacts/2021_raw.xlsx,Table 19,265
563,nan,nan,0.165,>1,data/bronze/artifacts/2021_raw.xlsx,Table 19,266
564,nan,nan,0.102,>1,data/bronze/artifacts/2021_raw.xlsx,Table 19,267
565,nan,2.77,0.094,3.49,data/bronze/artifacts/2021_raw.xlsx,Table 19,268
566,nan,4.58,0.277,>10,data/bronze/artifacts/2021_raw.xlsx,Table 19,269
567,nan,4.44,0.103,>1,data/bronze/artifacts/2021_raw.xlsx,Table 19,270
568,nan,2.-2,0.13,5.55,data/bronze/artifacts/2021_raw.xlsx,Table 19,271
569,nan,nan,0.331,7.16,data/bronze/artifacts/2021_raw.xlsx,Table 19,272
570,nan,2.39,0.343,>10,data/bronze/artifacts/2021_raw.xlsx,Table 19,273
571,nan,nan,0.202,>1,data/bronze/artifacts/2021_raw.xlsx,Table 19,274
572,nan,3.48,0.608,>10,data/bronze/artifacts/2021_raw.xlsx,Table 19,275
573,nan,nan,0.76,>1,data/bronze/artifacts/2021_raw.xlsx,Table 19,276
574,nan,nan,0.49,>1,data/bronze/artifacts/2021_raw.xlsx,Table 19,277
575,nan,2.89,0.078,>1,data/bronze/artifacts/2021_raw.xlsx,Table 19,278
576,nan,5.89,0.749,>10,data/bronze/artifacts/2021_raw.xlsx,Table 19,279
577,nan,3.89,0.159,6.65,data/bronze/artifacts/2021_raw.xlsx,Table 19,280
578,nan,15.4,0.859,5.09,data/bronze/artifacts/2021_raw.xlsx,Table 19,281
579,nan,,0.095,>1,data/bronze/artifacts/2021_raw.xlsx,Table 19,282
580,nan,2.24,0.11,5.6,data/bronze/artifacts/2021_raw.xlsx,Table 19,283
581,nan,16,0.84,>1,data/bronze/artifacts/2021_raw.xlsx,Table 19,284
582,nan,nan,0.49,>1,data/bronze/artifacts/2021_raw.xlsx,Table 19,285
583,nan,nan,0.14,>1,data/bronze/artifacts/2021_raw.xlsx,Table 19,286
584,nan,nan,0.29,>1,data/bronze/artifacts/2021_raw.xlsx,Table 19,287
585,nan,nan,0.58,11,data/bronze/artifacts/2021_raw.xlsx,Table 19,288
586,nan,nan,0.344,5.55,data/bronze/artifacts/2021_raw.xlsx,Table 19,289
587,nan,nan,0.807,0.404,data/bronze/artifacts/2021_raw.xlsx,Table 19,290
588,nan,nan,0.76,>1,data/bronze/artifacts/2021_raw.xlsx,Table 19,291
589,nan,nan,0.549,>1,data/bronze/artifacts/2021_raw.xlsx,Table 19,292
590,nan,14.9,0.921,6.8,data/bronze/artifacts/2021_raw.xlsx,Table 19,293
591,nan,16.5,0.456,>1,data/bronze/artifacts/2021_raw.xlsx,Table 19,294
592,nan,2-.9,0.407,>1,data/bronze/artifacts/2021_raw.xlsx,Table 19,295
593,nan,13.2,0.185,>1,data/bronze/artifacts/2021_raw.xlsx,Table 19,296
594,nan,26,0.64,>1,data/bronze/artifacts/2021_raw.xlsx,Table 19,297
595,nan,21.5,0.99,8.2,data/bronze/artifacts/2021_raw.xlsx,Table 19,298
596,nan,17.1,0.352,>10,data/bronze/artifacts/2021_raw.xlsx,Table 19,299
597,nan,6.35,0.3,>1,data/bronze/artifacts/2021_raw.xlsx,Table 19,300
598,nan,2.44,0.18,>1,data/bronze/artifacts/2021_raw.xlsx,Table 19,301
599,nan,3.12,0.28,>1,data/bronze/artifacts/2021_raw.xlsx,Table 19,302
