sample_label,smiles_raw,provenance_file,provenance_sheet,provenance_row,variable,value
Compound Structure 33,CCN1C=C(C(F)(F)F)N=C1C1=CC=C(CN2N=CC3=C\N=C(C4=C(OC)N=CN=C4C4CC4)/N=C\32)C=C1,data/bronze/artifacts/2020_raw.xlsx,Table 2 ~ 4,37,usp1_ic50_grade,+++
Compound Structure 34,COC1=C(C2=N/C=C3/C=NN(CC4=CC=C(C5=NC(C(F)(F)F)=CN5C5CC5)C=C4)/C3=N\2)C(C2CC2)=NC=N1,data/bronze/artifacts/2020_raw.xlsx,Table 2 ~ 4,38,usp1_ic50_grade,+++
Compound Structure 35,CCN1C=C(C(F)(F)F)N=C1C1=CC=C(CN2N=CC3=C\N=C(C4=C(OC(C)(C)C)N=CN=C4C4CC4)/N=C\32)C=C1,data/bronze/artifacts/2020_raw.xlsx,Table 2 ~ 4,39,usp1_ic50_grade,+++
Compound Structure 36,CCN1C=C(C(F)(F)F)N=C1C1=CC=C(CN2/N=C\C3=CN=C(C4=C(OCCF)N=CN=C4C4CC4)N=C32)C=C1,data/bronze/artifacts/2020_raw.xlsx,Table 2 ~ 4,40,usp1_ic50_grade,+++
Compound Structure 37,CCN1C=C(C(F)(F)F)N=C1C1=CC=C([C@@H](C)N2N=CC3=C/N=C(C4=C(OC)N=CN=C4C4CCC4)\N=C\32)C=C1,data/bronze/artifacts/2020_raw.xlsx,Table 2 ~ 4,41,usp1_ic50_grade,+++
Compound Structure 38,COC1=C(C2=N/C=C3/C=NN([C@@H](C)C4=CC=C(C5=NC(C(F)(F)F)=CN5C)C=C4)/C3=N\2)C(C2CC2)=NC=N1,data/bronze/artifacts/2020_raw.xlsx,Table 2 ~ 4,42,usp1_ic50_grade,+++
Compound Structure 39,N1(C2C(C=N1)=CN=C(C1C(C3CC3)=NC=NC=1OC(*)(*)*)N=2)CC1=CC=C(C2N(C=C(C(F)(F)F)N=2)CC)C=C1,data/bronze/artifacts/2020_raw.xlsx,Table 2 ~ 4,43,usp1_ic50_grade,+++
Compound Structure 4,CCS(=O)(=O)C1=C(C2=N/C3=C(C=NN3CC3=CC=C(C4=NC(C(F)(F)F)=CN4C)C=C3)/C=N\2)C=CC=C1,data/bronze/artifacts/2020_raw.xlsx,Table 2 ~ 4,6,usp1_ic50_grade,++
Compound Structure 40,COC1=C(C2=N/C=C3\C=NN(CC4=CC=C(C5=NC(C(F)(F)F)=CN5C(C)C)C=C4)\C3=N\2)C(C2CC2)=NC=N1,data/bronze/artifacts/2020_raw.xlsx,Table 2 ~ 4,44,usp1_ic50_grade,+++
Compound Structure 41,COC1=C(C2=N/C=C3/C=NN(CC4=CC=C(C5=NC(C(F)(F)F)=CN5C)C(F)=C4)/C3=N\2)C(C2CC2)=NC=N1,data/bronze/artifacts/2020_raw.xlsx,Table 2 ~ 4,45,usp1_ic50_grade,+++
Compound Structure 42,CCN1C=C(C(F)(F)F)N=C1C1=CC=C([C@@H](C)N2N=CC3=C\N=C(C4=C(OC)N=CN=C4C4CC4)/N=C\32)C=C1,data/bronze/artifacts/2020_raw.xlsx,Table 2 ~ 4,46,usp1_ic50_grade,+++
